plant,helps_plant,by
Marigold,Aubergine,"repelling nematodes and other harmful insects, while also attracting beneficial insects like ladybugs and hoverflies that prey on pests."
Alyssum,Aubergine,attracting hoverflies and predatory wasps that control aphids and other harmful insects.
Coriander,Aubergine,"attracting beneficial insects like hoverflies and parasitic wasps, which prey on pests like aphids and caterpillars."
Catnip,Aubergine,"repelling aphids, flea beetles, Japanese beetles, and other pests that commonly attack Aubergine plants."
Beans (Runner),Aubergine,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Aubergine plants."
Beans (French),Aubergine,"providing a natural trellis for support, shading the soil to conserve moisture, and improving soil fertility through nitrogen fixation."
Purslane,Basil,"acting as a living mulch, suppressing weeds, conserving soil moisture, and providing habitat for beneficial insects."
Wheat,Beans (Broad),"acting as a living mulch, suppressing weeds, conserving soil moisture, and providing habitat for beneficial insects."
Lovage,Beans (Broad),"repelling aphids, attracting beneficial insects like ladybugs and hoverflies, and improving soil fertility with its deep root system."
Petunia,Beans (Broad),"repelling aphids, spider mites, and other pests, while also attracting beneficial insects like hoverflies and predatory beetles."
Nasturtium,Beans (Broad),"repelling aphids, whiteflies, and squash bugs, while also attracting beneficial insects like predatory beetles and parasitic wasps."
Lovage,Beans (Runner),repelling aphids and attracting beneficial insects like ladybugs and hoverflies.
Petunia,Beans (Runner),"repelling aphids, spider mites, and other pests, while also attracting beneficial insects like hoverflies and predatory beetles."
Sweetcorn,Beans (Runner),"providing a natural trellis for support, shading the soil to conserve moisture, and attracting pollinators that benefit both crops."
Rosemary,Beans (Runner),"repelling bean beetles, Mexican bean beetles, and other pests, while also improving soil fertility with its aromatic leaves."
Amaranth (Grain),Beans (Runner),"providing shade, conserving soil moisture, suppressing weeds, and attracting beneficial insects like ladybugs and lacewings."
Nasturtium,Beans (Runner),"repelling aphids, cucumber beetles, and other pests, while also attracting beneficial insects like predatory beetles and parasitic wasps."
Nasturtium,Beans (French),"repelling aphids, cucumber beetles, and other pests, while also attracting beneficial insects like predatory beetles and parasitic wasps."
Beans (French),Beetroot,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Beetroot plants."
Onion,Beetroot,"repelling carrot flies, onion flies, and other pests that commonly attack Beetroot plants."
Catnip,Beetroot,"repelling flea beetles, aphids, and other pests, while also attracting beneficial insects like lacewings and parasitic wasps."
Garlic,Beetroot,"repelling carrot flies, onion flies, and other pests, while also improving soil health and deterring larger pests like rabbits and deer."
Onion (Autumn planted),Beetroot,"repelling carrot flies, onion flies, and other pests, while also improving soil health and deterring larger pests like rabbits and deer."
Mint,Beetroot,"repelling flea beetles, aphids, and other pests, while also improving soil health and deterring larger pests like rodents."
Onion (Red),Beetroot,"repelling carrot flies, onion flies, and other pests, while also improving soil health and deterring larger pests like rabbits and deer."
Beans (Borlotti),Broccoli (Purple),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Purple Broccoli plants."
Dill,Broccoli (Purple),"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Onion,Broccoli (Purple),"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Onion (Red),Broccoli (Purple),"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Chamomile,Broccoli (Purple),"improving soil health and flavor, while also attracting beneficial insects like hoverflies and parasitic wasps."
Alyssum,Broccoli (Purple),"attracting beneficial insects like lacewings and parasitic wasps, which prey on pests like aphids and caterpillars."
Marigold,Broccoli (Purple),"repelling nematodes, cabbage worms, and other pests, while also improving soil health and deterring larger pests like rabbits."
Sage,Broccoli (Purple),"repelling cabbage moths and other pests, while also improving soil health and flavor."
Agastache,Broccoli (Purple),"attracting beneficial insects like hoverflies and parasitic wasps, which prey on pests like aphids and caterpillars."
Crimson Clover,Broccoli (Purple),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Purple Broccoli plants."
Peas,Broccoli (Purple),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Purple Broccoli plants."
Cabbage (Chinese),Broccoli (Purple),"providing shade, conserving soil moisture, and attracting beneficial insects like ladybugs and lacewings."
Beans (French),Broccoli (Purple),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Purple Broccoli plants."
Thyme,Broccoli (Purple),"repelling cabbage worms and other pests, while also improving soil health and flavor."
